"name","place_id"
"Thumbs Up Pub & Bistro","ChIJj9TqM0Fs2jERqrGRbkyQJf8"
"The Burning Oak","ChIJOeAV6jE92jERgRf7MogdLs8"
"Red Lantern Restaurant","ChIJ8R7SmjMQ2jERnYVvFaClY5A"
"Piore","ChIJheMfxg8a2jERxQX64qcLWVA"
"Mei Heong Yuen Dessert","ChIJhyzBA2oZ2jERnlTUM50LDDU"
"Mr Bean - One North MRT","ChIJucjD4T8Q2jERoAB8YC21CMI"
"Pizza Hut","ChIJ3dARAokQ2jER7GWqEM8KFDc"
"Spinach Yong Tau Foo Soup","ChIJU8vApocZ2jERaCX95h_L6oc"
"Jalan Tua Kong Lau Lim Mee Pok-The Art Of Mee Pok","ChIJEyLo-zE92jERXFAj_RC82Kk"
"Siam Square Mookata (Jurong East Central)","ChIJ86WNoAUQ2jERWScRdorYYa4"
"My Little Tapas Bar","ChIJa6iY3gwZ2jER4xW7IGTlNuY"
"Eastern House of Seafood Delicacy","ChIJ6y64uVQ92jERkEUgFdTcAe4"
"Bake King","ChIJ6bT8IxcY2jEROblwYAFMnHg"
"Tiong Hoe Specialty Coffee","ChIJJ9wWkzQa2jER1NZNUnhOfJw"
"Potluck by The Soup Restaurant","ChIJJV7X1Q0Q2jERDNnJQOEaePs"
"Fatburger & Buffalo's @ Novena Square","ChIJoa7SC3oZ2jERo-LW7Whx6H4"
"McDonald’s Raffles City","ChIJp4zYJ6QZ2jERM05lBScSqpc"
"Dolce Vita","ChIJga9oQqgZ2jERl7a7lid-Sic"
"Fusion Spoon","ChIJFyy-SBQT2jERgZpO7zwsqUw"
"Alba 1836 • Italian Restaurant • Fine Food & Wine","ChIJdwDED20Z2jERyyKZ3ZqbPn8"
"Crab In Da Bag","ChIJyf-FAcUZ2jERSszkMmebVlo"
"Domino's","ChIJw5GsJfk92jERenW737uJrYI"
"Min Jiang Bak Kut Teh （岷江肉骨茶）","ChIJ26v4xy8V2jERNIDVBYEg1HY"
"Vegan Paradise","ChIJuUW-XIQa2jER3_4wfEOn8vU"
"Old Chang Kee","ChIJRZONr5IZ2jERGXKyKRGXk38"
"The Healthy Society","ChIJOWoWyA4Z2jER5QxnZVGWHHI"
"Verdure Cafe","ChIJK_YoklUR2jERxrM4LEvai6k"
"Dover Village XO Fish Head Bee Hoon","ChIJJ9iRE1wa2jERtZyTBDTkdLI"
"Ho Kee Pau","ChIJXYErmqgT2jERr_jcqYtfr4s"
"Ya Kun Kaya Toast","ChIJSQoT5Y0Z2jEROOczRpNx4rU"
"Jing","ChIJsSmt3wgZ2jERLSpITEic5s0"
"FairPrice Finest Serangoon Garden Village","ChIJAx67tf8W2jERVZhYvBM-TAI"
"Hokkai Villa","ChIJeaKbZQwZ2jERM5XuMADSJQg"
"Ri Sheng Seafood 日升海鲜小厨","ChIJH2ARMa8a2jERxRzQbD0QwDw"
"Bonheur Patisserie","ChIJ73eQK6QZ2jERAZ1-iFYgync"
"PUTIEN","ChIJQ7ONulgZ2jERTqwkadCVJBw"
"Tae Woo Ban Jum","ChIJh4zJdqAZ2jERZb46rVROky8"
"Ji Ling Vegetarian","ChIJgZRnP6MT2jERXfx1UWz_vqM"
"BURGER KING - SELETAR MALL","ChIJNauDMHcX2jER0LAdQJyTCUc"
"Coffee Break","ChIJ04at-1Ia2jERki_DYERrSYk"
"Creme Maison Bakery","ChIJVVVVFI0X2jERF8r58MSqnl0"
"Hong Seng Curry Rice","ChIJAad--9Qb2jER-CyX2T--Bno"
"Starbucks","ChIJ2QsRow8Q2jER2inE4qR6U-8"
"Choo Chiang Roasted Meat Noodle House","ChIJoypljWYX2jERrr9cqvEyOgE"
"Danro Collagen Hotpot Buffet","ChIJgfz1qaQR2jERIj1uAlgdKrs"
"Central Hong Kong Café","ChIJsWc4gm8U2jERQNE6F5fni-I"
"Sun with Moon Japanese Dining & Cafe","ChIJsWdAt40Z2jERACfyEz1yRVc"
"Enak Enak Hongkong Tea House","ChIJiU7m7DE92jERLm2Tsy1syyg"
"Aunties Pond","ChIJa2eb_4ES2jERJqhGUIR2HvA"
"Seoul Yummy","ChIJ0xnhHA8Q2jER9BKOb7RlsfQ"
"Blue Pier","ChIJXdI7WJYi2jERo5WP7-AfJ8k"
"Khun Thai","ChIJUTmI1KcT2jER2YubRateZOs"
"Baker's 13","ChIJ2ZSfdRAY2jERo4efizNMRGo"
"Adrift by David Myers","ChIJGX3mFwQZ2jERap7Tk0T2rz8"
"Leong Ji Seafood","ChIJWTQWAkEW2jERgQeL2OhqYzI"
"Babalicious Marine Cove","ChIJlWGdOHYY2jER_U-mxcRd3Gk"
"Polar Puffs & Cakes","ChIJLTCPpuQV2jERiNX9Uct1Z4A"
"ABC Paya Lebar Indian Muslim Restaurant","ChIJo2ZXUbsX2jERwhtAKhUGdAU"
"Burger King","ChIJYenSRR8X2jER7dJB7uTPALY"
"Ban Mian Fish Soup Stall","ChIJA_AhaBsX2jERWd474Eq60JU"
"Unice","ChIJ3cpLpG8U2jERpcdGSy4udi8"
"Shapla Restaurant PTE LTD","ChIJ1flQv8cZ2jERdSQvfvHCSok"
"Hamburg Steak Keisuke","ChIJaYRn1WwZ2jERc-i4fb9IUYo"
"Javier’s Rotisserie & Salad Bar","ChIJmfduPa8Z2jER1G1I86rAcrc"
"Pizza Hut","ChIJdT2Hpe0R2jERgtih1ZPRATw"
"Liu Xiang Tea Craft","ChIJV3yYfZ8Z2jERq4-Viat3Fzk"
"Changi Corner Eating House","ChIJ-XA6svk82jER287U2soNiZ8"
"Sin Zhong Food Manufacturer Pte Ltd","ChIJU7z00c4Z2jER1SfEW5BahkU"
"Sunny Korean Cuisine","ChIJEYqXiPEa2jER2bcCdkJOT0Q"
"The Nook","ChIJA8ltlmsa2jERbiEyr1LrViY"
"Treasures Yi Dian Xin","ChIJQdctYcc82jERn4z_0KZ7sAM"
"ICE LAB","ChIJ7WNEPJEZ2jER2mXIUhamPio"
"Fragrance Bakkwa @ Jurong Point","ChIJmRnrx-wP2jER7Yf9417zI9I"
"Manhill Restaurant","ChIJp3Xzzb4b2jER-VtJo_5e5fI"
"Killiney Kopitiam - Lor Telok","ChIJr_s9TQoZ2jERK0MdVheo2Qs"
"Si Chuan Dou Hua Restaurant","ChIJNbMBmLEZ2jEROolMzkExz1o"
"S-11 F&B Holdings Pte Ltd","ChIJCZhs3uEW2jER-w-VZa6t0Gc"
"Sembawang Confectionery","ChIJ4RXmc7QZ2jERJs65dKh3tfw"
"AAB Sweets & Snacks Pte Ltd","ChIJ6ckYxrgZ2jER2pqcgRvfPm0"
"Mas-Ayu Restaurant","ChIJRWZoOLsi2jERjxTL9DfGmS0"
"Biang Biang Noodle","ChIJaaR1lGYX2jERhqtuRXvScWY"
"Delifrance Tampines Mall","ChIJWZqClhE92jERMCAbqKhZFhc"
"redpan","ChIJ4wGBKaYZ2jERjaRZY6qs9nM"
"Nasi Padang","ChIJK4KH9pk92jERRFKWWDpAJuM"
"Bobby's Restaurant and Bar","ChIJNfw8b6QZ2jERx7nw3tmbI-Y"
"Sweet tooth addiction","ChIJ1_JfO20Y2jERgdq_38IRheM"
"Pizza Hut","ChIJJ4D-iA0W2jERvOyBgZ5q2GI"
"Guenpin Fugu & Snow Crab Japanese Restaurant","ChIJz-2lHxMZ2jER77u3mtX1iBY"
"Jin Ji prawn noodle","ChIJTWZc6KsZ2jERypEWRbOY5G0"
"NIQQI’S The Cheese Prata Shop","ChIJM3OkPvwa2jERrpqDZRvGu0I"
"Barnacles","ChIJHcvS4w4Z2jERzO5dqnTR0T4"
"McDonald's Changi Airport T2 Transit Lounge","ChIJwWK-boU92jERW32dlufR3kY"
"Starbucks","ChIJXfOVeLEZ2jERkrTUt7ed9f0"
"Sea Phoenix Restaurant 海鳯閣","ChIJ0QYan-4V2jERAyYZPlCbX8U"
"Brewerkz Riverside Point","ChIJIfl6WxkZ2jERx4zrUcjn2wE"
"Saybons","ChIJb-ErmBYX2jERWgHlhGNJQxU"
"Giant Supermarket","ChIJQ-phSKMT2jERS9sYVgPP-gk"
"Da Luca Italian Restaurant","ChIJZ27Ex-cZ2jERvJAsBMsgDak"
"Swirls Bake Shop","ChIJmZHav50Z2jERInMNAfhott8"
"dnata Singapore Pte Ltd","ChIJkdQdvpQ82jERp_gRgUy-pDI"
"Pastamania - Jurong East Swimming Complex","ChIJWaHnCyAQ2jERoAuK0xWuqB8"
"Soon Huat Dining House 順發美食之家","ChIJOTBBsnQZ2jERc-ta2yl9pgQ"
"Barworks Wine & Spirits Pte Ltd","ChIJoQYj9yUX2jERzmHGTzQ6-no"
"Char Grill Bar","ChIJkZLHgcQZ2jERagSlO-df52Y"
